account number,statement date,billed/unbilled,endpoint,resource,parameter,SOR
3708567788,25-12-19,billed,https://aexp.com,/balances,statement_id,MAPR
3708567778,25-02-19,billed,https://aexp.com,/balances,statement_id,MAPR
3708567888,25-11-19,billed,https://aexp.com,/balances,statement_id,MAPR
3708567588,26-12-19,billed,https://aexp.com,/balances,statement_id,MAPR
3708567688,20-12-19,billed,https://aexp.com,/balances,statement_id,MAPR
3708564788,23-12-19,billed,https://aexp.com,/balances,statement_id,MAPR
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
